antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'0.0'}),frozenset({'1.0'}),1.0,0.8812227074235808,0.8812227074235808,0.8812227074235808,1.0,1.0,0.0,1.0,0.0,0.8812227074235808,0.0,0.9406113537117904
frozenset({'1.0'}),frozenset({'0.0'}),0.8812227074235808,1.0,0.8812227074235808,1.0,1.0,1.0,0.0,inf,0.0,0.8812227074235808,0.0,0.9406113537117904
frozenset({'0.0'}),frozenset({'117500.0'}),1.0,0.25065502183406113,0.25065502183406113,0.25065502183406113,1.0,1.0,0.0,1.0,0.0,0.25065502183406113,0.0,0.6253275109170305
frozenset({'117500.0'}),frozenset({'0.0'}),0.25065502183406113,1.0,0.25065502183406113,1.0,1.0,1.0,0.0,inf,0.0,0.25065502183406113,0.0,0.6253275109170305
frozenset({'182000.0'}),frozenset({'0.0'}),0.010480349344978166,1.0,0.010480349344978166,1.0,1.0,1.0,0.0,inf,0.0,0.010480349344978167,0.0,0.505240174672489
frozenset({'212160.0'}),frozenset({'0.0'}),0.04192139737991266,1.0,0.04192139737991266,1.0,1.0,1.0,0.0,inf,0.0,0.04192139737991266,0.0,0.5209606986899563
frozenset({'0.0'}),frozenset({'Data Analyst'}),1.0,0.39039301310043667,0.39039301310043667,0.39039301310043667,1.0,1.0,0.0,1.0,0.0,0.39039301310043667,0.0,0.6951965065502184
frozenset({'Data Analyst'}),frozenset({'0.0'}),0.39039301310043667,1.0,0.39039301310043667,1.0,1.0,1.0,0.0,inf,0.0,0.39039301310043667,0.0,0.6951965065502184
frozenset({'0.0'}),frozenset({'Data Engineer'}),1.0,0.10393013100436681,0.10393013100436681,0.10393013100436681,1.0,1.0,0.0,1.0,0.0,0.10393013100436681,0.0,0.5519650655021834
frozenset({'Data Engineer'}),frozenset({'0.0'}),0.10393013100436681,1.0,0.10393013100436681,1.0,1.0,1.0,0.0,inf,0.0,0.10393013100436681,0.0,0.5519650655021834
frozenset({'0.0'}),frozenset({'Data Scientist'}),1.0,0.5056768558951965,0.5056768558951965,0.5056768558951965,1.0,1.0,0.0,1.0,0.0,0.5056768558951965,0.0,0.7528384279475983
frozenset({'Data Scientist'}),frozenset({'0.0'}),0.5056768558951965,1.0,0.5056768558951965,1.0,1.0,1.0,0.0,inf,0.0,0.5056768558951965,0.0,0.7528384279475983
"frozenset({'atlanta, ga'})",frozenset({'0.0'}),0.0314410480349345,1.0,0.0314410480349345,1.0,1.0,1.0,0.0,inf,0.0,0.0314410480349345,0.0,0.5157205240174673
"frozenset({'boston, ma'})",frozenset({'0.0'}),0.020087336244541485,1.0,0.020087336244541485,1.0,1.0,1.0,0.0,inf,0.0,0.020087336244541485,0.0,0.5100436681222708
frozenset({'by employers'}),frozenset({'0.0'}),0.03668122270742358,1.0,0.03668122270742358,1.0,1.0,1.0,0.0,inf,0.0,0.03668122270742358,0.0,0.5183406113537118
"frozenset({'cambridge, ma'})",frozenset({'0.0'}),0.04104803493449782,1.0,0.04104803493449782,1.0,1.0,1.0,0.0,inf,0.0,0.041048034934497823,0.0,0.5205240174672489
"frozenset({'chicago, il'})",frozenset({'0.0'}),0.02794759825327511,1.0,0.02794759825327511,1.0,1.0,1.0,0.0,inf,0.0,0.02794759825327511,0.0,0.5139737991266375
frozenset({'data analyst'}),frozenset({'0.0'}),0.05152838427947598,1.0,0.05152838427947598,1.0,1.0,1.0,0.0,inf,0.0,0.05152838427947598,0.0,0.525764192139738
frozenset({'data analyst - 35p cryptologic linguist'}),frozenset({'0.0'}),0.022707423580786028,1.0,0.022707423580786028,1.0,1.0,1.0,0.0,inf,0.0,0.022707423580786028,0.0,0.511353711790393
frozenset({'data engineer'}),frozenset({'0.0'}),0.0462882096069869,1.0,0.0462882096069869,1.0,1.0,1.0,0.0,inf,0.0,0.0462882096069869,0.0,0.5231441048034935
frozenset({'0.0'}),frozenset({'data scientist'}),1.0,0.11441048034934498,0.11441048034934498,0.11441048034934498,1.0,1.0,0.0,1.0,0.0,0.11441048034934498,0.0,0.5572052401746725
frozenset({'data scientist'}),frozenset({'0.0'}),0.11441048034934498,1.0,0.11441048034934498,1.0,1.0,1.0,0.0,inf,0.0,0.11441048034934498,0.0,0.5572052401746725
"frozenset({'irvine, ca'})",frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
"frozenset({'las vegas, nv'})",frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
"frozenset({'los angeles, ca'})",frozenset({'0.0'}),0.03755458515283843,1.0,0.03755458515283843,1.0,1.0,1.0,0.0,inf,0.0,0.03755458515283843,0.0,0.5187772925764192
frozenset({'massmutual\n3.6'}),frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
"frozenset({'nashville, tn'})",frozenset({'0.0'}),0.013973799126637555,1.0,0.013973799126637555,1.0,1.0,1.0,0.0,inf,0.0,0.013973799126637555,0.0,0.5069868995633188
"frozenset({'new york, ny'})",frozenset({'0.0'}),0.048034934497816595,1.0,0.048034934497816595,1.0,1.0,1.0,0.0,inf,0.0,0.048034934497816595,0.0,0.5240174672489083
"frozenset({'pittsburgh, pa'})",frozenset({'0.0'}),0.010480349344978166,1.0,0.010480349344978166,1.0,1.0,1.0,0.0,inf,0.0,0.010480349344978167,0.0,0.505240174672489
frozenset({'reynolds american\n3.1'}),frozenset({'0.0'}),0.01222707423580786,1.0,0.01222707423580786,1.0,1.0,1.0,0.0,inf,0.0,0.01222707423580786,0.0,0.506113537117904
"frozenset({'san diego, ca'})",frozenset({'0.0'}),0.028820960698689956,1.0,0.028820960698689956,1.0,1.0,1.0,0.0,inf,0.0,0.028820960698689956,0.0,0.514410480349345
"frozenset({'san francisco, ca'})",frozenset({'0.0'}),0.04279475982532751,1.0,0.04279475982532751,1.0,1.0,1.0,0.0,inf,0.0,0.04279475982532751,0.0,0.5213973799126638
"frozenset({'san jose, ca'})",frozenset({'0.0'}),0.011353711790393014,1.0,0.011353711790393014,1.0,1.0,1.0,0.0,inf,0.0,0.011353711790393014,0.0,0.5056768558951965
