Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
disability solutions,"glendale, ca",advanced data analyst,Data Analyst,,,,,,
disability solutions,"glendale, ca",advanced data analyst,Data Analyst,,,,,,
belmont university,"nashville, tn",advancement services - temporary data analyst,Data Analyst,,,,,,
belmont university,"nashville, tn",advancement services – temporary data analyst,Data Analyst,,,,,,
"beck's hybrids
4.6","atlanta, in",ag data scientist,Data Scientist,0,0,0,0,0,167440
alten,"jackson, ms",alten is hiring: data analyst - data governance analyst - ms - msdh in jackson,Data Analyst,,,,,,
applied analysis,"las vegas, nv",analyst (data visualization and reporting),Data Scientist,,,,,,
applied analysis,"las vegas, nv",analyst (data visualization and reporting),Data Scientist,,,,,,
carmax,"kennesaw, ga","analyst ii, caf data and business intelligence reporting",Data Scientist,,,,,,
federation caisses desjardins,"levis, ca","analyst, data valorization",Data Scientist,,,,,,
greensky,"atlanta, ga","analyst/sr. analyst, collections strategy & analytics",Data Scientist,,,,,,
"greatamerica financial services
4.6","cedar rapids, ia",analytics - business assurance data analyst,Data Analyst,0,0,0,0,1,89440
"greatamerica financial services
4.6","cedar rapids, ia",analytics - business assurance data analyst,Data Analyst,0,0,0,0,1,89440
"springml
4.4","indianapolis, in",analytics consultant,Data Scientist ,1,0,0,0,0,138320
"onemagnify
4.3","dearborn, mi",analytics manager,Data Scientist ,0,0,0,0,1,182000
"onemagnify
4.3","dearborn, mi",analytics manager,Data Scientist ,0,0,0,0,1,182000
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,0,0,0,0,0,133120
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,0,0,0,0,0,133120
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,0,0,0,0,0,133120
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,0,0,0,0,0,133120
tiktok,"los angeles, ca",artist engagement data analyst - usds,Data Analyst,,,,,,
tiktok,"los angeles, ca",artist engagement data analyst - usds,Data Analyst,,,,,,
"liberty mutual insurance
3.3","boston, ma","assistant director/director, office of data science",Data Scientist ,0,0,0,0,0,110240
"intrado
3.1","longmont, co",associate data analyst,Data Analyst,0,0,0,0,1,61360
"the hanover insurance group
3.7","worcester, ma",associate data analyst,Data Analyst,0,0,0,0,1,98800
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,0,0,0,0,0,94640
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,0,0,0,0,0,94640
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,0,0,0,0,0,94640
"eab
3.5","washington, dc",associate data engineer,Data Engineer,0,0,1,1,1,136240
"eab
3.5","washington, dc",associate data engineer,Data Engineer,0,0,1,1,1,136240
"mitre
3.2","mclean, va",associate data scientist/computer scientist,Data Scientist,1,0,1,0,0,169520
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,0,0,1,1,1,321360
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,0,0,1,1,1,321360
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,0,0,1,1,1,321360
"acceleron pharma
4.4","cambridge, ma","associate director/director, safety scientist",Data Scientist ,0,0,0,0,1,291200
"acceleron pharma
4.4","cambridge, ma","associate director/director, safety scientist",Data Scientist ,0,0,0,0,1,291200
"qk
4.7","clovis, ca",associate environmental scientist - wildlife biologist,Data Scientist ,0,0,0,0,1,106080
"qk
4.7","clovis, ca",associate environmental scientist - wildlife biologist,Data Scientist ,0,0,0,0,1,106080
"fareportal
3.8","new york, ny",associate machine learning engineer / data scientist may 2020 undergrad,Data Scientist,1,0,1,0,0,154960
"fareportal
3.8","new york, ny",associate machine learning engineer / data scientist may 2020 undergrad,Data Scientist,1,0,1,0,0,154960
"astrazeneca
3.9","gaithersburg, md","associate principal scientist, pharmacogenomics",Data Scientist ,0,0,0,0,0,197600
"astrazeneca
3.9","gaithersburg, md","associate principal scientist, pharmacogenomics",Data Scientist ,0,0,0,0,0,197600
"exelixis
3.0","alameda, ca",associate research scientist i (protein expression and production),Data Scientist ,0,0,0,0,1,182000
"pharmavite
2.9","valencia, ca",associate scientist,Data Scientist ,0,0,0,0,1,169520
"23andme
4.0","south san francisco, ca","associate scientist / sr. associate scientist, antibody discovery",Data Scientist ,0,0,0,1,1,191360
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,0,0,0,0,1,145600
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,0,0,0,0,1,145600
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,0,0,0,0,1,145600
"genentech
3.9","south san francisco, ca","associate scientist/scientist, process analytical technology - small molecule analytical chemistry",Data Scientist ,0,0,0,0,1,260000
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist ,1,0,0,0,1,130000
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist ,1,0,0,0,1,130000
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist ,1,0,0,0,1,227760
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist ,1,0,0,0,1,227760
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,,,,,,
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,,,,,,
"peraton
3.3","chantilly, va",big data engineer,Data Engineer,1,0,1,0,0,246480
"springml
4.4","indianapolis, in",big data engineer,Data Engineer,1,0,1,0,0,188240
"centro
4.1","chicago, il",big data engineer - chicago - future opportunity,Data Engineer,1,0,1,1,0,208000
brambles limited,"alpharetta, ga",bilingual data analyst & reporting,Data Analyst,,,,,,
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,1,0,0,0,1,111280
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,1,0,0,0,1,111280
by employers,"carson, ca",business data analyst - 35m human intelligence collector,Data Analyst,,,,,,
deutsche post dhl group,"mcdonough, ga",business data analyst ii,Data Analyst,,,,,,
truist,"atlanta, ga",business data analyst iii- risk and finance data analytics,Data Analyst,,,,,,
"fareportal
3.8","new york, ny","business data analyst, sql",Data Analyst,0,0,0,0,1,135200
"dayton freight lines, inc.
4.3","dayton, oh",business intelligence analyst / developer,Data Scientist ,0,0,0,0,0,164320
sage,"atlanta, ga",business intelligence data analyst,Data Analyst,,,,,,
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,,,,,,87000
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,,,,,,87000
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,,,,,,
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,,,,,,
kbr,"warner robins, ga",c-5m maintenance data analyst,Data Analyst,,,,,,
kbr,"warner robins, ga",c-5m maintenance data analyst jobs,Data Analyst,,,,,,
professional diversity network,"atlanta, ga",climate & sustainability data analyst,Data Analyst,,,,,,
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,0,0,0,0,1,78000
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,0,0,0,0,1,78000
"mantech
4.1","portsmouth, va",clinical data analyst,Data Analyst,0,0,0,0,0,146640
providence,"anaheim, ca",clinical data analyst - quality revenue enhancement,Data Analyst,,,,,,97760
providence,"anaheim, ca",clinical data analyst - quality revenue enhancement,Data Analyst,,,,,,97760
kpc health care inc,"anaheim, ca","clinical data analyst, ft days",Data Analyst,,,,,,
kpc health care inc,"anaheim, ca","clinical data analyst, ft days",Data Analyst,,,,,,
"pfizer
4.0","groton, ct",clinical data scientist,Data Scientist,0,0,0,1,1,174720
"pfizer
4.0","groton, ct",clinical data scientist,Data Scientist,0,0,0,1,1,174720
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist ,0,0,0,0,0,65520
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist ,0,0,0,0,0,65520
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist ,0,0,0,0,0,65520
vida health inc,"knoxville, tn",clinical operations data analyst,Data Analyst,,,,,,
tennessee hospital association,"nashville, tn",clinical quality data analyst,Data Analyst,,,,,,
uc san diego,"la jolla, ca",clinical registry and data analyst - hemophilia - 117935,Data Analyst,,,,,,
"forma therapeutics
3.8","watertown, ma","clinical scientist, clinical development",Data Scientist ,0,0,0,0,1,76960
"caterpillar
3.7","peoria, il",college hire - data scientist - open to december 2019 graduates,Data Scientist,0,0,0,0,0,168480
