company,location,title,job_category,avg_salary
843045256,"Pomona, CA",Data Analyst,Data Analyst,
Sunbit,"Los Angeles, CA",Fraud Data Analyst,Data Analyst,
SynergisticIT,"Las Vegas, NV",Python Programmer (Remote)/ Data Analyst (Remote),Data Analyst,
University Medical Center of Southern Nevada,"Las Vegas, NV",Epic Analyst - Core Clinical,Data Scientist,
Zest AI,"Burbank, CA",Data Analyst,Data Analyst,
Panda Restaurant Group,"Rosemead, CA",Business System & Data Analyst,Data Analyst,87000.0
Age of Learning,"Glendale, CA",Data Analyst,Data Analyst,
Wilshire Law Firm,"Los Angeles, CA",Wilshire Law Firm is hiring: Data Analyst (Onsite) in Los Angeles,Data Analyst,72750.0
Express Employment Professionals,"City of Industry, CA",Data Analyst,Data Analyst,46800.0
KBR,"Los Angeles, CA",Signals Intelligence/Link16 Data Analyst,Data Analyst,126500.0
Gusto,"Los Angeles, CA",Staff Data Analyst - Product,Data Analyst,134500.0
Providence,"Anaheim, CA",Clinical Data Analyst - QUALITY REVENUE ENHANCEMENT,Data Analyst,97760.0
CompassX Group,"Irvine, CA",Senior Consultant - Data Analyst,Data Analyst,
Inductive Recruiters,"Oxnard, CA",Data Analyst,Data Analyst,
Survey Junkie,"Escondido, CA",Survey Data Analyst,Data Analyst,
Navaide,"San Diego, CA",Data Analyst III (Ongoing Needs),Data Analyst,
Desjardins Financial Security,"Levis, CA","Data Analyst, Wealth Management and Life and Health Insurance",Data Analyst,
Molina Healthcare,"Long Beach, CA",Sr Data Analyst - SQL & Databricks,Data Analyst,
United States Army,"Alpine, CA",Data Analyst,Data Analyst,
Rival,"East Los Angeles, CA",Senior Data Analyst,Data Analyst,107500.0
Sinclair Broadcast Group,"Santa Monica, CA",Senior Media Audience Data Analyst [Santa Monica],Data Analyst,
TransGlobal,"Diamond Bar, CA",Data Analyst (Mandarin Speaking Required),Data Analyst,
Phd Jobs,"San Diego, CA",Senior Data Analyst (Hybrid Schedule),Data Analyst,
Molina Healthcare,"Long Beach, CA",Data Analyst - SQL & Databricks,Data Analyst,
Astrana Health,"Monterey Park, CA","Senior Data Analyst at Astrana Health Monterey Park, CA",Data Analyst,110000.0
First Media,"Los Angeles, CA",BI Developer & Data Analyst,Data Analyst,
Intuit,"San Diego, CA",Senior Business Data Analyst,Data Analyst,
OpenClassrooms,"Long Beach, CA",Data Analyst Apprenticeship,Data Analyst,
Wellth,"East Los Angeles, CA",Senior Health Informatics Data Analyst,Data Analyst,150000.0
"MoeGo, Inc.","East Los Angeles, CA","Senior Data Analyst, Sales Insights & Analytics",Data Analyst,
Over J Consulting,"East Los Angeles, CA",Data Analyst (MS Power Platform),Data Analyst,
"Sagent M&C, LLC (Sagent Lending Technologies)","San Bernardino, CA",Data Analyst Specialist,Data Analyst,
Amazon,"El Segundo, CA","Sr. ML Data Associate, Information Data Operations",Data Scientist,
San Diego Metropolitan Transit System (MTS),"San Diego, CA",System Safety Specialist/ Data Analyst,Data Analyst,82000.0
Federation Caisses Desjardins,"Levis, CA","Analyst, Data valorization",Data Scientist,
Stellantis,"Henderson, NV",Facilities Student Program - Data Analyst,Data Analyst,
The Wonderful Company,"Los Angeles, CA",Lead Healthcare Data Analyst,Data Analyst,117500.0
Broadvoice,"Los Angeles, CA",Sales Data Analyst,Data Analyst,
By Employers,"Culver City, CA",Data Analyst - 18X Special Forces Candidate,Data Analyst,
By Employers,"Torrance, CA",Data Analyst - 35M Human Intelligence Collector,Data Analyst,
By Employers,"Paramount, CA",Data Analyst - 18X Special Forces Candidate,Data Analyst,
By Employers,"Paramount, CA",Data Analyst - Fire Control Specialist,Data Analyst,
By Employers,"Lomita, CA",Data Analyst - 18X Special Forces Candidate,Data Analyst,
