company,currency,date_posted,description,emails,interval,is_remote,job_function,job_level,job_type,job_url,job_url_direct,listing_type,location,max_amount,min_amount,title
Akkodis,,1738368000000,"BI Data Engineer - MS Dynamics 365 F&O £70,000 - £85,000 depending on experience Remote working, UK based candidates only Permanent Role Overview: My client is looking for an experience BI Data Engineer to join a newly established Data Services Team. A large chunk of the roles will involve supporting Finance Business Intelligence and working with a number of different workstreams including BI analysts, MS D365FO consultants, and more to understand the key reporting requirements and how data will be used. The rest of your time will be used to help grow the clients BI and Data Services capabilities across the wider business, delivering and supporting BI reporting when needed. Key Responsibilities: Design and develop scalable data warehousing solutions using Snowflake. Create robust ETL pipelines with tools like Azure Data Factory and LogicApps. Develop PowerBI data models and dashboards to meet reporting needs. Collaborate with Finance SMEs, BI analysts, and D365 consultants to deliver Finance BI solutions. Monitor and optimise the performance of data pipelines and reporting solutions. Ensure the Data Warehouse is operating efficiently and effectively, reflective of the business requirements Ensure BI and data solutions adhere to security, regulatory, and audit standards, including ISO27001 and SOC2-Type2. Required Experience: Proficient in Snowflake, PowerBI, Azure Data Factory, SQL, and DAX. Experience with MS DF&O, Power Platform, Azure LogicApps, and Data Lake. Skilled in extracting and transforming data from RESTful APIs and formats including JSON, CSV, and Parquet. Familiarity with Azure Cloud, Power Platform, Dynamics 365 F&O, and Cognitive Services. Strong ability to translate business needs into technical solutions. Expertise in data mapping, architecture, and transformation. Desired Experience: SnowPro Certification (Data Engineer, Administrator, or Architect). Microsoft DP-203 (Azure Data Engineer) or DP-600 (Fabric Analytics Engineer).Modis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers in the UK. Modis Europe Ltd provide a variety of international solutions that connect clients to the best talent in the world. For all positions based in Switzerland, Modis Europe Ltd works with its licensed Swiss partner Accurity GmbH to ensure that candidate applications are handled in accordance with Swiss law. Both Modis International Ltd and Modis Europe Ltd are Equal Opportunities Employers. By applying for this role your details will be submitted to Modis International Ltd and/ or Modis Europe Ltd. Our Candidate Privacy Information Statement which explains how we will use your information is available on the Modis website",,,True,,,fulltime,https://talents.studysmarter.co.uk/companies/akkodis/bi-data-engineer-ms-dynamics-365-fo-930913/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Newcastle upon Tyne,,,BI Data Engineer – MS Dynamics 365 F&O
Noir,,1738368000000,"Data Engineer - FinTech Company - Newcastle

(Tech Stack: Data Engineer, Databricks, Python, Azure, Power BI, AWS QuickSight, AWS, TSQL, ETL, Agile Methodologies)

I’m working with a leading Software House in the FinTech industry, based in Newcastle, who are looking to hire a talented Data Engineer. This is a fantastic opportunity to join a forward-thinking company where you’ll play a key role in developing and optimising their data platform.

The Role:

As a Data Engineer, you’ll be working closely with the front office to understand data needs and help shape the company’s data capabilities. You’ll be responsible for building and optimising data pipelines, automating data processes, and ensuring high data quality and governance.

Key Responsibilities:
• Collaborate with the front office to scope and understand data requirements.
• Build and maintain the data platform using in-house and third-party tools.
• Automate data processes to improve efficiency and scalability.
• Develop robust data pipelines to ingest and transform data from multiple providers.
• Curate both external and internal datasets to meet business needs.
• Design and implement best-practice data architecture and governance strategies.
• Establish and maintain data quality standards and validation rules.

What They’re Looking For:
• Experience in a data-focused role, with a strong passion for working with data and delivering value to stakeholders.
• Strong proficiency in SQL, Python, and Apache Spark, with hands-on experience using these technologies in a production environment.
• Experience with Databricks and Microsoft Azure is highly desirable.
• Financial Services experience is a plus but not essential.
• Excellent communication skills, with the ability to explain complex data concepts in a clear and concise manner.
• Ability to work autonomously and take ownership of tasks while maintaining high standards.
• Strong problem-solving skills, with a focus on creating scalable, high-quality solutions.
• Detail-oriented, with a keen eye for spotting data inconsistencies.
• A genuine interest in understanding and solving business challenges through data.
• A 2:1 or higher degree in Computer Science or a related field, ideally from a top-tier university.

Why Join?

This is a great opportunity to work with cutting-edge technology in a thriving FinTech environment. You’ll be part of a talented and collaborative team, with plenty of opportunities for growth and career development.

If you’re a Data Engineer looking for your next challenge, I’d love to hear from you!

Location: Newcastle, UK

Salary: Competitive + Bonus + Pension + Benefits

Applicants must be based in the UK and have the right to work in the UK even though remote work is available.

To apply for this position please send your CV to Matt Jones at Noir.

NOIRUKTECHREC

NOIRUKREC

NC/RG/DE",,,True,,,fulltime,https://uk.linkedin.com/jobs/view/data-engineer-newcastle-at-noir-4140115003?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Newcastle upon Tyne,,,Data Engineer - Newcastle
Sky,,1738368000000,"What you'll do Continually integrate existing and new data sources across the AdTech Domain Craft and build scalable batch processing and ETL pipelines for data analytics using SQL and SSIS.

Recommend on tools, technologies on standards and good practice.

Build phenomenal software on DotNet Core or Java.

Work side by side with our customers and partners in an agile environment to build great outcomes.

Support during testing and transition into live use.

Work with Application Engineers to share this data across Sky.

Continuously improve and optimise the performance and cost efficiency of our data platform.

Champion TDD, BDD and Clean Code practices across the team What you'll bring Strong programming background with solid DotNet Core or Java or Python and SQL skills.

DBT is a bonus.

Commercial experience with ETL and corresponding tooling either with a 3rd party tool or from one of the public cloud vendors.

Data Engineering in a public cloud environment including cost optimisation.

Extra points for having Google Cloud Platform experience.

Knowledge of orchestration tools and Cloud monitoring systems like Prisma or ELK.

Experience of applying CI/CD and Infrastructure as Code principles to Data Engineering Team overview Sky Advertising Technology provides innovative solutions to Sky's Advertising opportunities including the industry leading AdSmart
- that allows our clients to accurately target their adverts to relevant households.

You'll be helping to build and manage those systems and be part of the migration of AdTech systems into the Cloud! Content technology and innovation Our Content Technology and Innovation team delivers high-quality content to homes, customer devices, businesses and commercial partners across our European markets.

With over 2500 colleagues from around the world, we combine our strategic insights, engineering know-how and operational excellence to use the most innovative technologies to create and distribute our award-winning content! The rewards There's one thing people can't stop talking about when it comes to #LifeAtSky :

the perks.

Here's a taster:

Sky Q, for the TV you love all in one place The magic of Sky Glass at an exclusive rate A generous pension package Private healthcare Discounted mobile and broadband A wide range of Sky VIP rewards and experiences Inclusion & how you'll work Recognised by The Times and Stonewall, we take pride in our approach to diversity and inclusion.

Investing in society, fighting racial injustice and setting ambitious targets for representation at Sky.

We've embraced hybrid working and split our time between unique office spaces and the convenience of working from home.

You'll find out more about what hybrid working looks like for your role later on in the recruitment process.

Your office space Osterley Our Osterley Campus is a 10-minute walk from Syon Lane train station.

Or you can hop on one of our free shuttle buses that run to and from Osterley, Gunnersbury, Ealing Broadway and South Ealing tube stations.

There are also plenty of bike shelters and showers.

On campus, you'll find 13 subsidised restaurants, cafes, and a Waitrose.

You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed, and even get pampered at our beauty salon.

We'd love to hear from you Inventive, forward-thinking minds come together to work in Tech, Product and Data at Sky.

It's a place where you can explore what if, how far, and what next.

But better doesn't stop at what we do, it's how we do it, too.

We embrace each other's differences.

We support our community and contribute to a sustainable future for our business and the planet.

If you believe in better, we'll back you all the way.

Just so you know:

if your application is successful, we'll ask you to complete a criminal record check.

And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer.
Sky
Isleworth England",,,False,,,fulltime,https://uk.joboolo.com/uk/job-data+architect/intuk22656856?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Isleworth,,,Lead Data Engineer > Joboolo UK
Elanco,,1738368000000,"Education : EQUIVALENTEXPERIENCE

At Elanco (NYSE: ELAN) – it all starts with animals!

As a global leader in animal health, we are dedicated to innovation and delivering products and services to prevent and treat disease in farm animals and pets. We’re driven by our vision of ‘Food and Companionship Enriching Life’ and our approach to sustainability – the Elanco Healthy Purpose™ – to advance the health of animals, people, the planet and our enterprise.

At Elanco, we pride ourselves on fostering a diverse and inclusive work environment. We believe that diversity is the driving force behind innovation, creativity, and overall business success. Here, you’ll be part of a company that values and champions new ways of thinking, work with dynamic individuals, and acquire new skills and experiences that will propel your career to new heights.

Making animals’ lives better makes life better – join our team today!

Location: Hook, UK (Hybrid)

Data Engineering at Elanco is growing across ingestion, integration, transformation, consumption, and governance capabilities to deliver data products that will transform how the organization leverages data. The Data Engineering and Platforms organization is seeking an experienced Data Governance Engineer to provide technical leadership to both internal and partner teams working within our Enterprise Data environment. This is a broad role which will include coaching and leading junior engineers in their domain, as well as partnering with engineering and product leadership to deliver on the data strategy.

To be successful in an engineering role at Elanco requires a highly motivated individual with an innovative mindset and willingness to drive tangible outcomes. The individual must be able to articulate complex technical topics, collaborate with internal and external partners, and ensure quality delivery of the required data products.

Reporting to the Associate Director - Data Platforms, the Lead Data Governance Engineer will manage all technical aspects of the Collibra Data Intelligence Platform ecosystem, including platform administration, release management, security, system integrations, and optimization of core components (Console, DIC, Edge, Lineage Harvester, and DQ&O). This role requires expertise in cloud computing, data management, and platform automation, with specific knowledge of Databricks, MS Azure, Terraform, and API integration. As part of a global, cross-functional team of technology and data experts, this role collaborates globally to ensure the platform's successful implementation and adoption.

Responsibilities

Platform Administration
• Administer and maintain the Collibra Data Governance platform including Collibra Console, Collibra DIC, Edge, Lineage Harvester and Collibra Data quality & observability.
• Working in terminals with Shell commands to manage the platform and VMs.
• Work with data engineers to facilitate data integration to systems such as Databricks, Azure Synapse, Power BI, & GCP Big query.
• Configure and manage Collibra communities/domain, workflows, data lineage, and business glossaries.
• Work with business SMEs and identified project partners to develop requirements (functional/non-functional/operational/data quality) for Data Governance, Metadata, Data Quality and translate them into technical solutions.
• Collaborate with data stewards, data owners, and IT teams to ensure data governance policies and standards are effectively implemented.
• Manage licenses and users including role-based access control.
• Responsible for user/ user group onboarding on Collibra with correct privileges, including advising on right privileges to manage security and license cost optimization.
• Develop training materials, use case and asset model documentation, as well as implementation specification.
• Provide recommendations for leveraging full functionality of Collibra platform (workflow, lineage diagrams, UI, dashboards, views, etc.).
• Manage server configurations, monitor system performance, and troubleshoot issues.
• Work closely with Data governance product owner, the Enterprise data office, IT, and data engineering teams to understand requirements, gather feedback, and continuously improve platform performance and user experience.

DevOps and Automation
• Integrate Collibra with other enterprise systems, infrastructure automation, and tools using APIs, Kubernetes, Terraform, and Ansible for CI/CD and IaC.

Continuous Learning
• Provide technical support and training to users on the Collibra platform and related tools.
• Stay ahead of Collibra updates, big data technologies, automation tools, and cloud services.
• Recommend and implement best practices for data governance, automation, and platform management.

Qualifications
• Bachelor’s Degree in Computer Science, Software Engineering, or equivalent professional experience.
• 4+ years of experience engineering and delivering enterprise scale data solutions, with examples in the cloud (especially Databricks, Azure, and GCP) strongly preferred.
• 4+ years of experience administering a Data governance platform, ideally Collibra.

Additional Skills/Preferences
• Collibra Ranger or Solution Architect certification.
• Ability to translate complex business needs into technical requirements.
• Experience with Infrastructure automation and application techniques and technologies such as Terraform, Kubernetes, and Ansible.
• Strong proficiency in administration, configuration, functional & technical architecture of Collibra across Collibra Data intelligence Cloud, Lineage Harvester, Collibra Edge and Collibra Data Quality & Observability.
• Experience with ETL tools and processes, ensuring proper data lineage and data quality.
• Experience with APIs for system integration and process automation.
• Experience with Collibra Data Quality tools for data profiling and data quality rule implementation.
• Familiarity with data tools and cloud platforms such as Power BI, Azure, Databricks, GCP, and Big Query.
• Experience configuring and customizing workflows in Collibra using Business Process Model and Notation (BPMN).
• Solid understanding of data governance principles, lineage, and metadata management.
• Exceptional problem-solving, proactiveness, and attention to detail.
• Strong communication, collaboration, and the ability to work effectively across teams.
• Experience working in complex enterprise landscapes (business, technology, regulatory, partners, providers, geographies, etc.).

Other Information: Occasional travel may be required.

Direct Reports: 0

Elanco is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status",,,False,,,fulltime,https://www.simplyhired.co.uk/job/1vtYc-B-bdu7XA9f-W_2nh_ZfYdfXu65UalKMoY_WXBWRxGLJfvkqw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,England,,,Lead Data Governance Engineer
Virgin Media O2,,1738281600000,"We are looking for an experienced Data Engineer who will use innovative GCP technology and Cloud Spanner at scale to develop a unified identification service that connects millions of Virgin Media and O2 customers together.

This is a varied role where you will collaborate with highly skilled Architects, DevOps and Analytic Engineering teams to achieve key results for our stakeholders as well as playing an instrumental role in identifying areas for improvement, proposing innovative ideas, and contributing to the overall growth and success of our data team.

Who we are

The UK’s fastest broadband network. The nation’s best-loved mobile brand. And, one of the UK's biggest companies too.

Diverse, high performing teams - jam packed with serious talent. Together, we offer the UK more choice and better value, through our boundary-pushing, customer-championing values and ambitions.

Together, we are Virgin Media O2, and we can't wait to see what you can do.

Accessible, inclusive and equitable for all

Virgin Media O2 is an equal opportunities employer and we're working hard to remove bias and barriers for our people and candidates. So, we build equity and inclusion into everything we do, from the policies we craft to the relationships we shape. We support and encourage you to be your authentic self throughout your application journey with us.

The must haves

In order to be considered, you must have the following experience;
• Have strong SQL skills including analytic functions and ensuring data quality.
• Demonstrable production experience working on a cloud environment, preferably GCP.
• Have experience of using a data warehouse engine such as BigQuery or Redshift .
• Have strong proficiency in Python with proven Data Engineering experience.

The other stuff we are looking for

We'd also love you to bring;
• An understanding of DevOps best practices including IaC and CI/CD
• Hands on experience of Apache Beam on Cloud Dataflow

What's in it for you

Our goal is to celebrate our people, their lives and everything in-between. We aim to create a culture that empowers everyone to bring the best versions of themselves to work each and every day. We believe the most inclusive and diverse culture makes for a better business and a brighter world.

Working at Virgin Media O2, you get a bumper reward package bursting with benefits, and loads of extras you can add if you’d like to. These are designed to support both you and your loved ones, making sure that you’re covered no matter what life throws your way.

Next steps

If we feel like a place where you can belong, we'd love to learn more about you as a person and your experience to date. Once you've submitted an application the next steps of the process, if successful, are likely to include a take home technical exercise and two stage interview.

When you apply, you'll be asked about any adjustments you might need to support the recruitment process. Let us know, and we'll be sure to discuss it with you.

Please note: Applications will be reviewed, and interviews conducted throughout the duration of this advert, therefore we may bring the closing date forward. We encourage all interested applicants to apply as soon as possible. Thanks for your patience and for showing an interest in joining the Virgin Media O2 family.

#LI-PS1",,,False,,,fulltime,https://flexa.careers/jobs/virginmediao2digital-data-engineer-679cbc823c291ae6da44c9ef?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Spennymoor,,,Data Engineer
Barclays,,1738281600000,"Join Barclays as an R&D Software and Data Engineer where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. In this role, you will be an integral part of our Cyber Fraud Fusion Centre, delivering scalable CFFC services to disrupt and prevent upstream economic crime.

To be successful as an R&D Software and Data Engineer, you will need the following: ​
• Experience working within Financial Service teams responsible for cyber fraud, financial crime or security (web/app).
• Experience with industry fraud and security signals, including any such as digital identity, device, voice, biometrics, and behavioural profiling technologies.
• Knowledge of malicious attack vectors used by cyber fraud adversaries to target the financial sector including but not limited to Device Spoofing, Location Manipulation, Identity Fraud, Account Takeover and False documentation.
• Hands on practical experience using AWS, Python, Relational databases (Postgres, MS SQL, Oracle, Mysql, etc.), SAS PROC SQL, Hue Database Assistant, Teradata, and non-rational Hadoop.

Some other highly valued skills may include: ​
• Knowledge of Enterprise security frameworks such as NIST Cybersecurity Framework and Cyber-attack phases (e.g. Cyber Kill Chain and/or Mitre Att&ck Framework).
• Previous advanced experience using analytical tools and platforms such as SQL/SAS/Hue/Hive Basic, Quantexa, Elastic Search, SAS and MI tools like Tableau and Power BI.
• Advanced knowledge of malicious attack vectors used by cyber fraud adversaries.
• Knowledge of security network architectures (e.g. Proxies, VPN, DNS, web and mail servers) and the principles of network security.
• ICA Certificate/Diploma in Financial Crime Prevention, CAMS Certification, CFE Certification, or equivalent.​

You may be assessed on the key critical skills relevant for success in role, such as risk and controls, change and transformation, business acumen strategic thinking and digital and technology, as well as job-specific technical skills.

The successful candidate can either be based in Knutsford or Northampton.

Purpose of the role

To design, develop and improve software, utilising various engineering methodologies, that provides business, platform, and technology capabilities for our customers and colleagues.

Accountabilities
• Development and delivery of high-quality software solutions by using industry aligned programming languages, frameworks, and tools. Ensuring that code is scalable, maintainable, and optimized for performance.
• Cross-functional collaboration with product managers, designers, and other engineers to define software requirements, devise solution strategies, and ensure seamless integration and alignment with business objectives.
• Collaboration with peers, participate in code reviews, and promote a culture of code quality and knowledge sharing.
• Stay informed of industry technology trends and innovations and actively contribute to the organization’s technology communities to foster a culture of technical excellence and growth.
• Adherence to secure coding practices to mitigate vulnerabilities, protect sensitive data, and ensure secure software solutions.
• Implementation of effective unit testing practices to ensure proper code design, readability, and reliability.

Analyst Expectations
• Will have an impact on the work of related teams within the area.
• Partner with other functions and business areas.
• Take responsibility for end results of a team’s operational processing and activities.
• Escalate breaches of policies/procedure appropriately.
• Take responsibility for embedding new policies/ procedures adopted due to risk mitigation.
• Advise and influence decision making within own area of expertise.
• Take ownership for managing risk and strengthening controls in relation to the work you own or contribute to. Deliver your work and areas of responsibility in line with relevant rules, regulation and codes of conduct.
• Maintain and continually build an understanding of how own sub-function integrates with function, alongside knowledge of the organisations products, services and processes within the function.
• Demonstrate understanding of how areas coordinate and contribute to the achievement of the objectives of the organisation sub-function.
• Make evaluative judgements based on the analysis of factual information, paying attention to detail.
• Resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents.
• Guide and persuade team members and communicate complex / sensitive information.
• Act as contact point for stakeholders outside of the immediate function, while building a network of contacts outside team and external to the organisation.

All colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship – our moral compass, helping us do what we believe is right. They will also be expected to demonstrate the Barclays Mindset – to Empower, Challenge and Drive – the operating manual for how we behave.",,,False,,,fulltime,https://search.jobs.barclays/job/knutsford/r-and-d-software-and-data-engineer/13015/71359186688?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Northampton,,,R&D Software and Data Engineer
iO Associates,,1738281600000,"Role: Lead Data Engineer (Hands-on) Rate: £425.00 - £470.00 Inside Ir35 Clearance: SC Cleared (actice, used within last 12 months) Location: Hybrid/London (once every month) Start date: ASAP Company Overview: Recruiting for a leading cloud solutions provider specialising in digital transformation and data engineering services. The mission is to empower organisations to unlock their data's full potential through innovative cloud solutions. Seeking a Lead Data Engineer to support the data engineering team in designing and implementing solutions for complex migration projects. Job Overview: The Lead Data Engineer will oversee the design and implementation of data engineering solutions, leading a team in migrating Legacy Oracle databases to AWS managed databases. Expertise in AWS services like AWS Glue, AWS Managed Flink, S3, AWS RDS, and Lambda is essential for mentoring, troubleshooting, and optimizing data solutions. Key Responsibilities: Lead ETL processes using AWS Glue to migrate data from Legacy Oracle databases to AWS managed databases, document databases, and data lakes. Oversee development and maintenance of scalable data pipelines. Provide technical leadership and mentorship to Data Engineers. Collaborate with solution architects, data scientists, and stakeholders. Optimize data workflows using AWS services. Ensure adherence to data quality, security, and governance standards. Automate and monitor data pipelines with proactive alerting mechanisms. Drive continuous improvement and stay updated with emerging AWS services. Lead technical discussions and ensure alignment on design and implementation. Provide regular updates on project status and challenges to senior leadership. Qualifications: Proven expertise in designing and developing ETL processes using AWS Glue. Experience migrating Legacy Oracle databases to AWS managed databases. Strong knowledge of AWS services (S3, AWS Managed Flink, Lambda, CloudWatch). Expertise in building and maintaining data lakes, document databases, and relational databases. Hands-on experience with data pipeline architecture and development. Proficiency in SQL and Python. Strong understanding of data governance, quality, and security. Desirable - AWS certifications (AWS Certified Data Analytics, AWS Certified Solutions Architect). Preferred Skills: Experience with big data processing technologies (Apache Spark, PySpark). Knowledge of DevOps practices and tools. Familiarity with data warehousing, dimensional modelling, and data architecture best practices. JBRP1_UKTJ",,,False,,,fulltime,https://talents.studysmarter.co.uk/companies/io-associates/lead-data-engineer-aws-903817/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Leeds,,,Lead Data Engineer (AWS)
Homes England,,1738281600000,"Head of Data Engineering and Platform

Application closing date: 16/02/25 at 23:59

Location: Birmingham, Liverpool or Newcastle

A bit about the role…

As the Head of Data Engineering and Data Platform, you will lead the design, development, and management of our cloud-based data environment, ensuring it meets the organisation's current and future needs. You will drive the growth and evolution of the Platform, identifying opportunities to adopt new technologies and enhance capabilities to support the Agency. This is a critical role within the Data & Analytics directorate, where you will oversee the end-to-end engineering of data pipelines, ensuring the efficient ingestion, transformation, and accessibility of trusted data across the agency. Your work will underpin the agency’s data-driven decision-making, enabling advanced analytics, AI, and innovation.

You will provide strategic leadership to the data platform team, driving the adoption of emerging technologies and ensuring that the platform is secure, scalable, and aligned with organisational objectives. As Head of Profession for data engineers, you will ensure that the agency has the right skills, capacity and flexibility to meet its aspirations. By collaborating with data governance, architecture, and analytics teams, you will create a robust, well-structured data ecosystem that supports efficient data operations and enhances user experience. In this role, you will balance strategic oversight with practical delivery, ensuring delivery of a reliable, high-performing data platform.

This is an exciting opportunity to shape the future of data engineering at Homes England. Through your leadership, the agency will develop cutting-edge capabilities to streamline operations, support innovation, and deliver measurable value. You will work closely with stakeholders across the organisation, ensuring the data platform is aligned with business priorities and contributes directly to the agency’s mission in housing and regeneration.

A bit about you…

You are a visionary leader with a proven track record in designing and managing cloud-based data platforms at an enterprise level. With significant experience in data engineering and a deep understanding of data management principles, you are adept at translating complex technical concepts into strategies that support organisational goals. Your hands-on approach, paired with a strategic mindset, ensures the delivery of impactful solutions that drive measurable results.

As an experienced leader, you excel at building and leading high-performing teams, fostering an environment of collaboration, innovation, and continuous improvement. You have strong interpersonal and communication skills, enabling you to engage effectively with stakeholders across the organisation, aligning data initiatives with business needs, and advocating for a data-driven culture. Your ability to identify and adopt emerging technologies further demonstrates your commitment to advancing the organisation’s data capabilities.

Adaptable and flexible, you thrive in a fast-paced environment and view challenges as opportunities for growth. With a focus on operational excellence, you are dedicated to ensuring that data is accessible, secure, and well-managed. Your leadership and passion for driving positive change make you a key figure in enabling the organisation to achieve its ambitions through the power of data.

Who are we?

Homes England: The Housing and Regeneration Agency

We believe that affordable, quality homes in well-designed places are key to improving people’s lives. As the government’s housing and regeneration agency, we create thriving new places and transform urban areas, combining the full breadth of our powers, expertise, land, capital and influence to bring investment to communities and get more homes built.

How? We form long-term partnerships that bridge the gap between the public and private sector to meet local needs and aspirations. We use our influence to champion the creation of sustainable homes, communities and places that are brilliantly designed for the people that live there now, and in the future. And we use our funding and support to build a more resilient, diverse and innovative housing sector, helping new entrants in the market, encouraging modern methods of construction and design, and promoting the utmost attention to building safety.

Together with our partners, we’re accelerating the pace of house building, remediation and regeneration across the country, as we seek to deliver ever more affordable homes in places people are proud to call home for generations to come.

What we offer...

As well as a competitive salary and 33 days annual leave, we are committed to 50/50 hybrid working. We’ll support you, wherever possible, so that you don’t miss out on what matters to you.

Membership of the Homes and Communities Agency Pension Scheme, which is a contributory defined benefit scheme with the amount you receive on retirement based on your salary and years worked at the Agency.

Internal applicants: please note that if you are successful, the salary you are offered will be in accordance with our pay controls and pay policy. You can find details on the HR Hub SharePoint site.

If you ever need a bit of extra help, we have a great employee assistance programme, financial wellbeing support and access to many great discounts with leading high street names.

Our range of network groups are also there to support you to be yourself at work and play a key role in helping shape our future.

If you are a member of a professional body, we’ll pay for your membership and once you get your digital kit, you’ll be good to go.

Homes England are a geographically diverse community. We work to a 50/50 office/ home based model. Moving back into our office environments has enabled us to utilise our space and time together in the most collaborative way.

We would encourage all applicants to apply as soon as possible as we may close vacancies early should we receive a high number of applications.

We also encourage you to apply using the full application option as opposed to quick apply, this is especially important if you would like to indicate to us that you would like to be considered under the disability confident scheme.

If your application is shortlisted to interview we will require you to provide proof of your right to work in the UK at this stage.",,,False,,,fulltime,https://uk.linkedin.com/jobs/view/head-of-data-engineering-and-platform-at-homes-england-4139144924?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Newcastle upon Tyne,,,Head of Data Engineering and Platform
Corecom Consulting,,1738281600000,"• *Job Summary (50 words)**

We are seeking an experienced IMAC Engineer to support installations, upgrades, and maintenance across data centres in the Northern region. This is a dynamic, client-facing role that's critical to ensuring seamless IT infrastructure deployment and top-tier customer service.
Job Description

Key Responsibilities:
• Perform installations, upgrades, and maintenance tasks for client data centres.
• Set up hardware, including racking, stacking, powering, and connectivity testing.
• Manage small-scale projects and multi-day deployments, ensuring timely delivery.
• Valid UK driving license.
• Eligibility to obtain Security Check (SC) clearance.
• Proven experience with installing/upgrading data centre infrastructure.

Requirements:
• A professional, customer-first mindset.
• The adaptability to handle a range of tasks—from quick setups to complex deployments.
What We Offer

• Competitive salary: £32,000 - £35,000 per annum, flexible for highly experienced candidates.

• Approximately £4,800 annual car allowance.

• Travel expenses for all client site visits.

• Professional development opportunities and career growth.
Application Process

Stage 1: Virtual interview via Teams.

Stage 2: Face-to-face interview at the York office.",,,False,,,fulltime,https://gb.bebee.com/job/e26a5dfb30cad9c5b153d638663aca43?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,Birmingham,,,Remote Data Engineer
Selby Jennings,,1738195200000,"Our client, a top-tier hedge fund with a strong focus on technology, is seeking a Data Integration Specialist / Data Engineer to join their London-based team. In this role, you’ll be responsible for building and managing multiple datasets that power their research and trading platforms, as well as developing automated ETL pipelines to accelerate data onboarding. You'll also contribute to the design and implementation of the data framework, playing a key part in shaping their data infrastructure. Develop automated ETL pipelines to onboard data efficiently Contribute to the design and implementation of the data framework Monitor data health and fetching processes to ensure reliability Build data quality checks to ensure accuracy and completeness 1-4 years’ experience in a similar data-focused role ~ Strong knowledge of Python, with experience in additional programming languages preferred ~ Solid understanding of AWS services ~ Experience with datalakes and databases is a plus ~",,,False,,,fulltime,https://talents.studysmarter.co.uk/companies/selby-jennings/data-engineer-aws-specialist-873980/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,London,,,Data Engineer (AWS Specialist)
